"Year","Month","UK","USA","Germany","Italy","UAE","S.Arabia","France","India","S.Africa","Japan","Others","Total"
"2025","March","2472","11608","2982","1070","60855","14514","2637","25114","7399","9058","110196","247904"
"2025","April","3316","12492","4193","2089","43819","7563","2289","30763","3918","10949","136987","258377"
"2025","February","2128","14887","2198","1365","46381","17826","2490","16632","4650","11213","117082","236854"
"2025","January","3846","8548","4283","1169","61338","12288","1777","25422","6917","10696","128501","264784"
"2025","May","4932","13721","2833","1891","62240","12690","1915","20161","4937","13459","125507","264286"
"2024","May","6994","11390","3845","1799","72298","14395","3170","16088","5779","8803","113589","258150"
"2024","September","3885","11287","3263","1431","58174","12517","1845","18809","6573","8733","131325","257842"
"2024","August","3070","11073","6928","2422","67686","14294","2753","26080","2761","8497","129335","274899"
"2024","June","3814","7722","3193","1321","61804","13363","2321","21192","3842","8423","124283","251277"
"2024","December","2613","9805","3197","2387","63427","12393","2791","18655","3971","9302","129531","258074"
"2024","March","2497","10910","3031","1819","52689","12698","2663","18183","4618","8267","131355","248731"
"2024","November","5812","9892","3399","1588","52462","22532","2228","28138","5210","9863","124574","265698"
"2024","April","3119","17897","3065","1752","56969","18481","2459","20387","3207","9536","139180","276053"
"2024","July","3401","10226","3363","2121","58855","14373","2777","19592","4367","9244","137595","265913"
"2024","February","3629","13447","4052","2102","63756","15045","1749","25215","5112","9768","135635","279511"
"2024","January","2493","16745","2848","1274","62418","16848","1846","28605","12130","9411","144490","299107"
"2024","October","3441","25242","3241","2009","63819","17781","3793","22284","6704","9433","124731","282476"
"2023","January","3658","5769","2995","1740","54558","11174","4376","24201","3267","6822","104433","222992"
"2023","March","2479","6916","2916","2678","42492","41787","2052","27320","7319","8033","110298","254290"
"2023","September","2810","7685","2769","1740","76326","30319","4814","17755","4690","8610","104613","262130"
"2023","February","2509","5766","3695","963","59351","15080","1436","13993","5790","5669","92682","206935"
"2023","July","3147","11290","2591","1584","64010","18393","2782","18568","7848","8394","95512","234119"
"2023","December","2435","8453","3382","1709","65119","16371","2500","19295","5125","8877","131851","265117"
"2023","May","3344","11378","3547","1673","72044","22843","2700","26626","7350","7840","112196","271542"
"2023","June","3588","12020","5178","1695","64074","18264","2330","21412","6748","8748","108170","252224"
"2023","November","8551","9670","2942","1568","68873","24146","3479","19455","5969","10643","153420","308715"
"2023","April","2237","11277","3525","2508","58552","29376","1700","27650","8551","7916","95353","248646"
"2023","October","3322","9146","2879","1449","78526","22472","4832","33667","7847","7504","116868","288512"
"2023","August","2829","13390","3498","2586","81468","19546","3935","19228","6338","8398","119500","280715"
"2022","June","3285","5707","3586","5986","63933","19081","2032","33638","2998","8272","114028","262546"
"2022","January","2042","6705","3070","1719","29473","18681","1736","25494","4261","6763","116915","216859"
"2022","February","3401","6069","2304","1877","41968","19402","1220","15144","10086","9209","97602","208281"
"2022","April","2567","7611","2151","1162","59349","23929","1143","30751","3587","8297","87267","227816"
"2022","March","3644","11651","2159","1642","60083","18666","1608","21419","3386","9312","111504","245075"
"2022","September","2903","6711","6424","1615","50901","24803","1727","16474","4354","7722","107793","231426"
"2022","May","2344","8750","2926","1828","52411","20744","2331","23696","6403","9234","128106","258774"
"2022","December","3286","7741","2578","1889","70757","9139","2490","16325","4343","8972","101431","228951"
"2022","October","2195","9069","2378","1958","59668","15061","1074","14259","3758","5780","101724","216924"
"2022","August","3692","6792","2078","1423","72771","10874","2300","18790","3000","9315","142436","273471"
"2022","November","2898","7254","2392","1562","53396","19185","2058","16735","5799","7500","101993","220771"
"2022","July","2492","9309","2308","2045","59751","11489","1549","17322","9087","7123","126350","248825"
"2021","May","2858","5832","2925","2781","31207","9040","2043","16829","3543","7336","95048","179441"
"2021","December","3628","7114","2937","1779","42255","13172","1802","22913","2958","9777","119442","227779"
"2021","August","2733","6902","3414","1963","32698","14968","2493","15499","3854","9012","96554","190092"
"2021","November","3066","7029","2778","1662","28407","18597","1782","20633","3673","7859","117018","212503"
"2021","June","2784","6007","3499","2176","23679","7182","1588","21458","4966","7432","98901","179672"
"2021","March","3484","9257","5617","2384","28146","12902","2420","19363","4653","9321","107730","205277"
"2021","September","2763","13251","7830","2188","28870","20024","2542","22495","4506","5946","99297","209713"
"2021","February","2999","5463","2937","2497","18869","11257","1981","17488","2352","6429","101156","173427"
"2021","January","2319","5491","3220","1201","24370","13204","1816","13322","3817","6677","97735","173169"
"2021","July","2352","6081","2905","3441","23096","12941","1226","20282","2576","9484","108047","192430"
"2021","April","2401","4101","2779","1224","26033","16109","1498","21489","2952","8772","93105","180463"
"2021","October","2206","7718","2154","1415","31589","18843","1299","19206","4228","9784","104992","203436"
"2020","December","3064","4366","3189","2348","19375","7195","1722","15383","2986","9728","105168","174524"
"2020","November","2242","4195","2181","3376","15881","8954","2265","16498","3479","6902","84257","150228"
"2020","October","2524","4377","2258","1888","22529","6835","2166","15641","3078","7288","87975","156559"
"2020","July","2062","4941","3170","2022","12837","7423","2274","15773","4539","7389","86496","148926"
