Location,DataId,Indicator,Value,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,SDRID,RegionId,SurveyType,DenominatorWeighted,DenominatorUnweighted,LevelRank
Coast,4667037,Women with secondary or higher education,19.9,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416003,1416010,EDLITRWSCH,KEDHS2003416003,DHS,667,938,1
North Eastern,5385284,Women with secondary or higher education,0.8,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416008,1416020,EDLITRWSCH,KEDHS2003416008,DHS,168,437,1
Eastern,7236894,Women with secondary or higher education,22.2,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416004,1416030,EDLITRWSCH,KEDHS2003416004,DHS,1325,993,1
Central,6493890,Women with secondary or higher education,41.6,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416002,1416040,EDLITRWSCH,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451582,Women with secondary or higher education,25,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416006,1416050,EDLITRWSCH,KEDHS2003416006,DHS,1872,1328,1
Western,6589863,Women with secondary or higher education,24.2,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416007,1416070,EDLITRWSCH,KEDHS2003416007,DHS,927,991,1
Nyanza,3751926,Women with secondary or higher education,26.2,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416005,1416080,EDLITRWSCH,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673320,Women with secondary or higher education,56.4,2003,KE2003DHS,ED_LITR_W_SCH,231233010,I,416001,1416090,EDLITRWSCH,KEDHS2003416001,DHS,835,1169,1
Coast,4667038,Women who can read a whole sentence,40.4,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416003,1416010,EDLITRWRDW,KEDHS2003416003,DHS,667,938,1
North Eastern,5385285,Women who can read a whole sentence,4.4,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416008,1416020,EDLITRWRDW,KEDHS2003416008,DHS,168,437,1
Eastern,7236895,Women who can read a whole sentence,49,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416004,1416030,EDLITRWRDW,KEDHS2003416004,DHS,1325,993,1
Central,6493891,Women who can read a whole sentence,42,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416002,1416040,EDLITRWRDW,KEDHS2003416002,DHS,1181,1314,1
Rift Valley,1451583,Women who can read a whole sentence,40,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416006,1416050,EDLITRWRDW,KEDHS2003416006,DHS,1872,1328,1
Western,6589889,Women who can read a whole sentence,46.5,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416007,1416070,EDLITRWRDW,KEDHS2003416007,DHS,927,991,1
Nyanza,3751927,Women who can read a whole sentence,47.6,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416005,1416080,EDLITRWRDW,KEDHS2003416005,DHS,1222,1025,1
Nairobi,6673349,Women who can read a whole sentence,32,2003,KE2003DHS,ED_LITR_W_RDW,231233020,I,416001,1416090,EDLITRWRDW,KEDHS2003416001,DHS,835,1169,1
Coast,4667039,Women who can read part of a sentence,5.2,2003,KE2003DHS,ED_LITR_W_RDP,231233030,I,416003,1416010,EDLITRWRDP,KEDHS2003416003,DHS,667,938,1
